name,summary
Romance Istanbul Hotel,"The room was absolutely amazing, we had the Royal Suite, the restaurant had very fresh and tasty food. The breakfast was excellent and again the restaurant staff were very polite and helpful. The spa soooo relaxing and clean. In one word FABULOUS!! - Great place, highly recommended. The hotel was in a great location for the palace and blocks away from the bazaar’s. Coffee down the street along with taxi drop off and pick up. Staff was friendly and welcoming. Free welcome drink and snack. Decoration is nice and homey. The hotel was very clean and the room had everything needed to have a comfortable stay. The staff was amazing and helped with everything that was needed. The Turkish breakfast every morning was very delicious, abundant and reasonable. The tea service every afternoon was free and delightful. We couldn’t have wished for a better experience. Highly recommend this hotel. Location is very good near historical places and Hagia Sophia and best place Topkapi.st and service is nice. Rooms was clean and nice also hotel is very clean. Especially staff is extreamly good thanks a lot lady Shirin who is always helpful with me. And thank you so much Faruk."
Hotel Sultania,"Hotel Sultania is a boutique hotel in the heart of Istanbul, Turkey. The hotel is one of the most popular hotels in the city. Hotel is located close to the main attractions of Istanbul. Hotel has a spa and is a great location for shopping and sightseeing."
Conrad Istanbul Bosphorus,"The hotel was so much clean and comfortable. I really loved the view aThe employees were awesome. The location of the hotel is also very good. The rooom is perfectly clean and tidy. The buffet has a variety of menus, which is great for international visitors. The view is great. The hotel is in a great location with easy access to the waterfront, bus stop is outside to get into Grand Bazaar and the Metro is a 10 minute walk away. There’s a happy hour between 5pm and 7pm where there's dinner served, as well as free alcoholic drinks. The G&Ts with grapefruit are beautiful. Istanbul is the best city in the world and the most beautiful and the best hotel is Conrad. The hotel is very clean and safe. All the staff are well trained and mannered. However the struggle of English language by some of the staff wasn't great. I can't exit the screen as I have to write at least 200 characters! Conrad Bosporus is a top hotel in Istanbul, Turkey. Guests can enjoy a panoramic view of the Bosporu Straits. The hotel is located in the Bestikas neighborhood of the city. It is also close to the Bosphorus Bridge and the Blue Mosque."
Hilton Istanbul Bomonti Hotel & Conference Center,"The hotel is fantastic, we stayed for the crypto conference, the staff are very helpful. The accommodation is very luxurious and well equipped. The restaurant offers a huge choice of cuisine. The staff are helpful and friendly always smiling. Thank you to all the staff and management we will be back. Hilton Bomonti Istanbul is one of the best hotels in Istanbul. The food offering is fantastic and the views are also pretty fantastic. Super accommodating staff and excellent service in a great location. The staff is very welcoming, great location, and feeling very comfortable. This hotel will be my first choice in Istanbul for sure. The food was so good and we had the best service ever from “Sevgi Aba’. The doorman Mr. Kadir Yayla, customer relations Ms.Berna, and the hotel Manager Ms.Shayda. They have enough of food selection, everyone will find something. We can only recommend her and the restaurant. Thank you Hilton!"
Hotel Yasmak Sultan,"Yasmak Sultan is a great hotel in a central location and very helpful staff. The breakfast service is very high quality food with a wide selection to choose from. The hotel has a swimming pool and gym, hamam which is open from 8am till 10pm. Yasmak Sultan hotel is located in the Sultan Mehmet area of Istanbul. The hotel is close to all the main attractions in the area. The rooms are very clean and cosy. The staff were very friendly and caring. The view from the restaurant was amazing to Bosporus and Hagia Sofia. ndoor swimming pool, sauna and gym for free. Will highly recommend to friends and family. All the staff were very helpful with city guiding and tours. Çöm specially big thanks to Nora! She is a amazing oerson! We loved the breakfast and spa area."
Radisson Blu Hotel Istanbul Ottomare,"Radisson Blu Ottomare is a luxury hotel in Istanbul, Turkey. The hotel is one of the best in the city. The rooms are very clean and the staff are friendly. The service is fast and the breakfast is scrumptious. However, the bathroom was not clean and with evident smell of mold. Radisson Blu Ottomare has a nice location outside the busy city centre with wiew to the Marmara sea. 800 meters walk to Zeitinburnu train station and from there only three stops to Sirkeci. The hotel is beautiful and our room at the 4th floor was lovely. y life like this hotel. Staff super helpful and polite. Room is clean. Breakfast excellent. Hotel Guest Relations Manager number one. Thanks a lot Mr Levent for your effort. You are the best…. - Staff ExcellentMs Buse, she is so kind and polite. Thank you very much for warm welcoming."
Demiray Hotel&Spa,"Great team / Great view / Great location - Impeccably clean brand new hotel - Functional hotel in the old town - Nice hotel but inconvenient experience - Wonderfull please, Excellent Restaurant server,service,food and definetly wiev - Slightly overpriced - Perfect location! Kind service! - Great hotel! - Good value for the money - Excellent Hotel - My best experience. Eva Bosphorus Restaurant in the beautiful Demiray Hotel is an exception to the rule. The view is the best I have found in the city. The food is fresh and is good as we have had here. The staff were absolutely lovely - constantly smiling and making sure we are okay. Felt like home. The views from the rooftop restaurant of Istanbul are fantastic!!!!  - Lux! A breathtaking sight view for millions!Wonderful staff! Amazing food! The room is nice, clean, big comfortable bed! Incredibly responsive staff for everything even if you ask them about the things outside the hotel! Top view of the entire Bosphorus! I recommend - Friendly and attentive staff. The view from the rooftop was great as well! - Amazing stay at demiray Hotel. Very nice and friendly staff specially Emre and Elif. They helped us the most. - Absolutely amazing hotel, best staff ever! Especially Salim, Emrah, Emre, Mert, Mustafa and Hazar. The hotel is within walking distance of iconic attractions like Hagia Sophia, the Blue Mosque, Suleymaniye Mosque, and the Grand Bazaar. The staff, particularly Selim, Belal, and Elif, went above and beyond to provide excellent hospitality. The rooftop restaurant offers breathtaking views of the city."
White House Hotel Istanbul,"White House Hotel Istanbul is by far the best hotel in the World I have stayed in, in Sultanahmet. Extremely clean and well kept hotel. Excellent staff, very polite and helpful. They go the extra mile for their guest! The Manager Harun listens to his guess needs and give personal attention to every guest! - A hidden gem that is worth visiting. The White House Hotel is located in the heart of the old town in 5-10 minutes walking distance from the Blue Mosque, Hagia Sophia, the Grand Bazaar and a myriad of restaurants with delicious food. Hotel has a roof-top terrace where they serve breakfast and where you can use a coffee machine 24x7 which is very nice. White House Hotel Istanbul is a beautiful place to stay Management/stuff  is very helpful And the breakfast area on the roof top give the beautiful view  restaurants and grand bazar is on walking distance too Harun helped me with the train pass also he is very very friendly and trustworthy Over all I loved it!! The White House is a boutique hotel in central Istanbul. The hotel is a block away from Hagia Sophia. The rooms are small and that was the only ""surprise"" of the stay. The staff are always welcoming, kind and always available. The breakfast is AMAZING. The view from the veranda on the top floor is stunning, an unobstructed view of Aya Sofia and Bosphorus Bridge. The location is also perfectly situated close to all the points of interest in the city. The room service was found extremely prompt and supply items on a call when needed."
"Swissotel The Bosphorus, Istanbul","Swissôtel Bosphorus surpassed expectations! Exceptional service and warm hospitality. The pool and gym facilities are excellent as well as the Spa. Room very spacious and accommodated myself and my 2 kids (aged 18&15 young adults) Very clean hotel with excellent service…  we spent very dreamy moments on New Year's Eve in this hotel. The staff in the leisure centre was second to  none, went above and beyond. Views of the Bosphorus Strait were outstanding, I could watch all day long. Staff, view, room, reception, concierge and of course location  Busra in the sabrosa restaurant is the best, she served people with a smile on her face. One of the best hotels of Istanbul. In a luxury area. We have spent about 4 days at the hotel and it was a great experience for us. It has a great access to the seaside and also luxury brands such as Hermes, Louis Vuitton, Gucci and other brands are near to the hotel. Swiss The Bosphorus hotel is located in the heart of Istanbul, Turkey. The hotel has a spectacular view of the city and is located on the 17th floor. Staff are friendly and helpful, but the hotel is outdated and the staff need more training. The food is good and the vip reflected the story and the culture of the restaurant."
Primero Hotel,"Hotel is located in a good location and there are many places and attractions to walk to just a few minutes away. The staff are very hard working and the manager Mr. Ozgul was lovely. Hotel is located next to a cargo company and it doesn't have sound proofing. Hotel is very close to all the important sight-seeing in Sultanahmet Area. Rooms are very decent in size and very clean. Walk able to Topkapi Palace, Basilica Cistern. Hotel location is also superb, close to main attractions. Hotel is by far the best hotel I have stayed at in Istanbul. ave ever been to in Istanbul.  The staff has been really nice to us especially Veysel Buluk and Omer Succin who has taken care of us from the check-in, check-out and the transfers. I highly recommend El Primero Hotel for a top-notch stay. - Clean and Family hotelEverything about this hotel is absolutely amazing with the stuff you especially with Vey Sel. - Great location A+ hospitality at this hotel! Great location to all the tourist spots. Location was the best. Quiet street, walking distance to sulthanamet square and grand bazaar. Restaurants nearby. Very clean hotel, the receptionist is always there to help. Cons: Breakfast while it was nice could use some variation now and then. Shower area was very small so bit of a tight space there when you close the shower screens. Small but modern rooms, very helpful and friendly staff. Location is wonderful and very convenient to shops and the historical sites such as the Aya Sophia and the Blue Mosque. Breakfast is below average to average quality, but not a dealbreaker as free breakfast is just an added benefit."
